,title,date,company,rating,salary,location,summary,requirements
2043,Global | GIR - Data Strategist - Analyst - Bengaluru,30+ days ago,Goldman Sachs,4,,"Bengaluru, Karnataka",Leverage alternative data and advanced analysis to create unique data driven insights.Leverage data initiatives and collaborate with engineers across the firm…,
2044,Data Scientist,30+ days ago,Encora Innovation Labs India Private Limited,,,"Bengaluru, Karnataka","Expertise in machine / deep learning, and used various complex algorithms related to NLP, Recommendation Systems, Scoring, etc.",
2045,Data Engineer,7 days ago,Cubic Corporation,3.7,,"Hyderabad, Telangana","Build process supporting data transformation, data structures, metadata, dependencies and workload management.Essential Job Duties and Responsibilities:",
2046,SDE II - Machine Learning,23 days ago,Ola Cabs,3.7,,India,"Understanding of data structures, data modeling and software architecture.Study and transform data science prototypes.",
2047,Data Scientist,30+ days ago,Intellect Design Arena Limited,3.7,,"Chennai, Tamil Nadu","Data gathering, data processing and data mining of large and complex datasets.Experience visualizing data to partners.Strong coding skills in python.",
2048,Operations & Analytics,10 days ago,CX Ventures,,,"Gurgaon, Haryana","Day to day execution and ads management across ad platforms like google, facebook, programmatic and native.Seamless and quick execution across ad platforms and…",
2049,Operational Risk_Monitoring & Reporting_Data Analyst,10 days ago,Société Générale,3.9,,"Bengaluru, Karnataka","DTO, is a multidisciplinary and passionate team dedicated to RISK Function, which includes experts (architects, data and digital officers, process specialists,…",
2050,Google Maps Analytics,30+ days ago,NeuroByte,,,"Thane, Maharashtra",Candidate will be given a particular shop and the address .Candidate has to search the address on google maps and mark the given shop or building on the google…,
2051,Applied Scientist II,30+ days ago,Amazon Dev Center India - Hyd,3.6,,"Hyderabad, Telangana","Computer Science fundamentals in data structures, algorithm design, problem solving, and complexity analysis.3+ years of hands-on experience building ML models…",
2052,Manager Data Scientist,30+ days ago,Innefu Labs Pvt. Ltd.,3.5,,"Delhi, Delhi","Must be able to handle deployment complexities like big data management, model integration to existing environment.More than 100+ clients in India.",
2053,Data Scientist,30+ days ago,Experion,,,"Thiruvananthapuram, Kerala",Experienced at working with Unstructured data.Research and devise innovative statistical models for data analysis.Experience : 7 to 10 years.,
2054,NLP / Machine Learning,30+ days ago,Pinnacle Consultz,,,"Bengaluru, Karnataka",Perform high quality data analysis to uncover trends and patterns in both text and data.Contribute to building the internal knowledge base on best practices in…,
2055,Machine Learning,5 days ago,Zycus,3.7,,"Bengaluru, Karnataka",Preferred experience with large data sets & distributed computing in Hadoop ecosystem.We are looking for applicants with a strong background in Analytics and…,
2056,Financial Data Analyst,19 days ago,Moody's Corporation,3.7,,"Bengaluru, Karnataka","Review, adjust and publish data to external market participants.Regularly interact with Moody's ratings analysts regarding financial and operational data…",
2057,"Research Intern, PhD, 2021 Start",10 days ago,Google,4.3,,"Bengaluru, Karnataka","From creating experiments and prototyping implementations to designing new architectures, Research Interns work on challenges in artificial intelligence,…",
2058,Data Scientist- Analytics- Python +Machine Learning (6-10yrs...,5 days ago,Crescendo Global Services,4.8,,Maharashtra,Performing data analysis from unstructured data to find meaningful business insights.Working with internal and external teams to develop models (ranging from…,
2059,Associate Analytics,Just posted,Games2win,4.7,,"Mumbai, Maharashtra",Help the Business Analytics team to collect and collate data from various tools.Do a first level analysis of the reports created and highlight any major…,
2060,"Enablement Specialist, Data & Analytics",30+ days ago,Cisco Systems,4.1,,"Bengaluru, Karnataka","We lead enterprise-wide data and analytics strategy, governance, policy development, and provide data and insights as a service for Cisco.Who You'll Work With.",
2061,Data Scientist,21 days ago,Staffio HR,,,"Bengaluru, Karnataka","Experience in data visualization concepts and tools.Strong background in relational databases, data modeling and SQL.Experience with Data Quality Controls.",
2062,Data Analyst,30+ days ago,Kellogg Company,3.7,,"Mumbai, Maharashtra","Be the steward of good data practices – robust documentations, process and knowledge sharing.This includes identification of new data sources required to make…",
2063,Manager - Data Analyst,10 days ago,Cognizant,3.9,,"Chennai, Tamil Nadu",O Collecting and interpreting data.O Serves as a gatekeeper for an organization’s data so stakeholders can understand data and use it to make strategic…,
2064,Data Scientist,30+ days ago,Fanatics Inc.,3.7,,"Hyderabad, Telangana",Ability to use SQL to perform data analysis.Dive into complex data sets to analyze trends and identify opportunities for improvement.What You'll Be Doing :,
2065,Govt Job : Scientist Posts Vacant,5 days ago,,,"₹40,000 a month",India,"Interested candidates for the above posts are requested to appear in person directly in the interview with application along with bio-data, attested copies of…",
2066,Sr. Analyst - Analytics,Today,Fidelity International,3.9,,"Gurgaon, Haryana",Experience with unstructured data and big data.Competent at analyzing both quantitative and qualitative data.The key objectives of the function are:,
2067,Process R&D Scientist-Senior Research Investigator,13 days ago,Syngene,4,,India,"Strong analytical skills to derive trend, conclusion, and path forward, out of large set of data.Its innovative culture is driven by the passion of its 4240-…",
2068,Machine Learning-data Scientist,30+ days ago,Saffron Consultancy Services,,"₹20,00,000 - ₹22,50,000 a year","Pune, Maharashtra","Knowledge on big data systems like Hadoop, Spark, spark ML, H2O, Tensorflow, Keras, etc.Machine Learning â€“ Data Scientist.",
2069,Developer- Machine Learning & Computer Vision,30+ days ago,Drishti Tech,,,"Mahal, Andhra Pradesh",Design & implement machine learning software solutions.Interact with business heads & department heads to gather feedback & clarification.,
2070,"R & Python, Machine and Deep Learning Algorithms professiona...",30+ days ago,AGUILASS,,,"Hyderabad, Telangana","Skills-R & Python, Machine and Deep learning algorithms.JD: R & Python, Machine and Deep learning algorithms, Bigdata tools like Hadoop/ Spark.",
2071,Data Analyst (SQL),30+ days ago,Casepoint,,,"Surat, Gujarat","For example, a one-time report in a specific format, a complicated data migration and cleanup, or any complex analytical data and file manipulation task.",
2072,Data Scientist,30+ days ago,Ness Technologies India Private Limited,3.8,,"Hyderabad, Telangana","Building longitudinal view of customer from Customer Journey data.Application of Auto Encoders, GANs in creating synthetic data and creating latent…",
2073,DATA SCIENTIST,30+ days ago,Inference Labs,,,"Bengaluru, Karnataka","Monitors and continuously improves the data sources, usability and data.We are looking for experienced data scientists with strong advanced analysis and…",
2074,Analytical Development - Senior Associate Scientist,16 days ago,Syngene,4,,India,Recording the data in the laboratory note books as per the approved standard procedures.Its innovative culture is driven by the passion of its 4240- strong…,
2075,"Analyst, Data",30+ days ago,True Influence,2.9,,"Bengaluru, Karnataka","Providing technical expertise on data storage structures, data mining, and data cleansing.Experience building and optimizing ‘big data’ data pipelines,…",
2076,Intern-DFM Data Analyst,17 days ago,GLOBALFOUNDRIES,3.3,,"Bengaluru, Karnataka","Big data skills: Spark/Pyspark/Scala/Spark SQL.Specifically, we are looking for application of machine learning algorithms on large amounts of defect data to…",
2077,Computer Scientist - (C++),26 days ago,Adobe,4.3,,"Noida, Uttar Pradesh","Proficient in C++, HTML, CSS, JS, data structures and algorithms.Changing the world through digital experiences is what Adobe’s all about.",
2078,Head-Supply Chain Management,5 days ago,LEVI'S,3.9,,"Bengaluru, Karnataka","This role will lead specific projects/initiatives for internal clients; directly mentor data scientists, data analysts, and data engineers; and will perform…",
2079,Sr AI Scientist,11 days ago,TARGET,3.6,,"Bengaluru, Karnataka","Work with data engineers on data quality assessment, data cleansing and data analytics.You will work closely with partner team data scientists and Merch…",
2080,Data Engineer,7 days ago,AlignTech,,,"Hyderabad, Telangana","Experience working with data engineers and data scientists to deliver high quality data analytics solutions.Experience in Azure Data Factory, working with API…",
2081,Data Analyst-GlobalSellingIN,30+ days ago,ASSPL - Karnataka,3.6,,"Bengaluru, Karnataka",Experience in using R/Python to handle large data sets.The successful candidate has a passion for extracting actionable insights from data.,
